spkr,nation,dialog_id,spa_abil,en_abil
CHL,Hisp/Nicagarua,herring1,3,3
LAU,US,herring1,4,4
PAI,US/Cuba,herring10,4,4
SAR,US/Cuba,herring10,2,4
CAL,US,herring11,4,4
GRA,Colombia,herring11,4,4
MIG,Nicaragua,herring12,4,4
TIM,Nicaragua,herring12,3,2
LEA,Cuba,herring13,3,4
VAN,US/Cuba,herring13,4,4
CON,5,herring14,4,3
GAB,Colombia,herring14,4,4
BRA,Honduras,herring15(zeledon10),4,4
EVN,US/Cuba,herring15(zeledon10),4,4
ABE,Dominican,herring16,4,4
IAN,US,herring16,4,4
JAM,Colombia,herring17,4,4
IRI,PR,herring17,4,4
MIG,Nicaragua,herring2,4,4
TOM,Nicaragua,herring2,4,4
ASH,Latin America,herring3,4,4
JAC,US/Cuba,herring3,4,4
MEG,US,herring5,4,4
NOA,US,herring5,4,4
JES,Cuba,herring6,4,4
NIC,Cuba,herring6,4,4
RIC,Cuba,herring7,3,4
SEB,Cuba,herring7,4,3
MEL,Cuba,herring8,4,4
ROB,Cuba,herring8,4,4
CLA,Cuba,herring9,4,4
LUK,Cuba,herring9,4,4
KEV,Cuba,sastre1,3,3
SOF,Cuba,sastre1,3,3
JEN,US,sastre10,4,4
JOC,5,sastre10,4,4
DIE,US,sastre11,2,4
EVE,US/Cuba,sastre11,4,4
MAD,5,sastre12,4,4
SAM,US,sastre12,4,4
COL,US/Dominican,sastre13,4,4
ELI,US,sastre13,4,4
AVA,Cuba,sastre2,4,2
LUI,US,sastre2,4,4
LAN,PR,sastre3,4,3
MAS,PR,sastre3,3,4
OLI,US/Cuba,sastre3,4,4
EMI,US,sastre4,2,4
GIA,Dominican,sastre4,3,4
LIL,US,sastre5,4,4
VIC,Cuba,sastre5,4,3
AAR,US,sastre6,4,4
ALY,Cuba,sastre6,3,2
JAD,US,sastre7,2,4
JUL,US,sastre7,2,4
AUD,Cuba,sastre8,4,4
PAO,US,sastre8,2,4
KAY,US,sastre9,2,4
VAL,5,sastre9,4,4
AME,Venezuela,zeledon1,4,4
CAR,US,zeledon1,4,4
ANT,Cuba/Dominican,zeledon11,3,4
SEA,US,zeledon11,3,4
ARI,Cuba,zeledon13,4,4
AVE,Cuba,zeledon13,3,3
HER,Venezuela,zeledon14,4,4
LAR,Venezuela,zeledon14,4,4
MAT,US,zeledon2,4,4
REB,US/Cuba,zeledon2,4,4
ELE,US,zeledon3,4,3
FEL,Colombia,zeledon3,4,4
ETH,US/Dominican/PR,zeledon4,3,4
HEN,Ecuador,zeledon4,4,4
ISA,Ecuador,zeledon5,4,4
MAY,Ecuador,zeledon5,4,4
ABI,Dominican,zeledon6,4,4
ELL,Cuba,zeledon6,4,4
JAS,Colombia,zeledon7,4,4
NAT,US,zeledon7,4,4
FLA,Colombia,zeledon8,4,4
MAR,5,zeledon8,4,4
CHA,Colombia,zeledon9,4,4
GIL,US,zeledon9,2,2