Speaker	File	Gender	Age	Spanish	English	English since	Other spkrs present
CHL	herring1	F	24	3	3	2	1
LAU	herring1	F	27	4	4	1	1
PAI	herring10	F	33	4	4	1	1
SAR	herring10	F	34	2	4	2	1
CAL	herring11	M	64	4	4	4	
GRA	herring11	F	63	4	4	3	
MIG	herring12	M	22	4	4	1	
TIM	herring12	M	20	3	2	2	
LEA	herring13	F		3	4	3	1
VAN	herring13	F	32	4	4	3	1
CON	herring14	M	20	4	3	3	
GAB	herring14	F	23	4	4	1	
BRA	herring15	M		4	4	1	
EVN	herring15	M	21	4	4	2	
ABE	herring16	M	24	4	4	3	
IAN	herring16	M	30	4	4	3	
JAM	herring17	M		4	4	5	
IRI	herring17	F	25	4	4	3	
MIG	herring2	M	21	4	4	1	
TOM	herring2	M	19	4	4	1	
ASH	herring3	F	37	4	4	4	1
JAC	herring3	M	41	4	4	5	1
MEG	herring5	F	41	4	4	3	
NOA	herring5	M	40	4	4	2	
JES	herring6	F	43	4	4	2	
NIC	herring6	M		4	4	2	
RIC	herring7	M	22	3	4	2	
SEB	herring7	M		4	3	5	
MEL	herring8	F	39	4	4	2	1
ROB	herring8	M	42	4	4	3	1
CLA	herring9	F	21	4	4	3	
LUK	herring9	M	20	4	4	4	
KEV	sastre1	M	57	3	3	4	
SOF	sastre1	F	44	3	3	3	
JEN	sastre10	F	35	4	4	2	1
JOC	sastre10	F	35	4	4	1	1
DIE	sastre11	M	30	2	4	1	
EVE	sastre11	F	60	4	4	5	
MAD	sastre12	F	48	4	4	3	
SAM	sastre12	F	41	4	4	1	
COL	sastre13	M	25	4	4	3	1
ELI	sastre13	F	19	4	4	2	1
AVA	sastre2	F	78	4	2	5	
LUI	sastre2	M	55	4	4	1	
EMI	sastre4	F	29	2	4	1	
GIA	sastre4	F	22	3	4	3	
LIL	sastre5	F	36	4	4	3	1
VIC	sastre5	F	66	4	3	5	1
AAR	sastre6	M	43	4	4	2	1
ALY	sastre6	F	42	3	2	4	1
JAD	sastre7	F	19	2	4	1	1
JUL	sastre7	F	15	2	4	2	1
AUD	sastre8	F	63	4	4	5	
PAO	sastre8	F	13	2	4	1	
KAY	sastre9	F	48	2	4	1	
VAL	sastre9	F	60	4	4	4	
AME	zeledon1	F	26	4	4	4	
CAR	zeledon1	F	21	4	4	1	
ANT	zeledon11	M	21	3	4	2	1
SEA	zeledon11	M	25	3	4	3	1
ARI	zeledon13	F	18	4	4	3	1
AVE	zeledon13	F	19	3	3	3	1
HER	zeledon14	F	22	4	4	1	
LAR	zeledon14	F	19	4	4	3	
MAT	zeledon2	M	22	4	4	1	
REB	zeledon2	F	21	4	4	3	
ELE	zeledon3	F	19	4	3	2	1
FEL	zeledon3	M	11	4	4	3	1
ETH	zeledon4	M	40	3	4	1	
HEN	zeledon4	M		4	4	5	
ISA	zeledon5	F	35	4	4	1	
MAY	zeledon5	F	37	4	4	5	
ABI	zeledon6	F	21	4	4	3	
ELL	zeledon6	F	19	4	4	4	
JAS	zeledon7	F	19	4	4	3	1
NAT	zeledon7	M	21	4	4	1	1
FLA	zeledon8	F	42	4	4	5	1
MAR	zeledon8	F	45	4	4	5	1
CHA	zeledon9	F	12	4	4	3	1
GIL	zeledon9	F	9	2	2	1	1